origem,destino,sku,perfil,volume
CD_11,Cliente_9,sku_63,RODOVIARIO,127.37
CD_11,Cliente_9,sku_82,RODOVIARIO,292.39
CD_11,Cliente_9,sku_83,RODOVIARIO,2236.58
CD_11,Cliente_9,sku_84,RODOVIARIO,35731.89
CD_11,Cliente_12,sku_23,RODOVIARIO,258.74
CD_11,Cliente_12,sku_26,RODOVIARIO,52.12
CD_11,Cliente_12,sku_49,RODOVIARIO,6154.16
CD_11,Cliente_12,sku_52,RODOVIARIO,22199.59
CD_11,Cliente_12,sku_61,RODOVIARIO,45.75
CD_11,Cliente_12,sku_63,RODOVIARIO,122.31
CD_11,Cliente_15,sku_25,RODOVIARIO,646.09
CD_11,Cliente_15,sku_61,RODOVIARIO,11.7
CD_11,Cliente_15,sku_63,RODOVIARIO,27.79
CD_11,Cliente_15,sku_65,RODOVIARIO,1054.18
CD_11,Cliente_16,sku_26,RODOVIARIO,24.35
CD_11,Cliente_16,sku_40,RODOVIARIO,55.45
CD_11,Cliente_16,sku_52,RODOVIARIO,11514.91
CD_11,Cliente_19,sku_23,RODOVIARIO,14.14
CD_11,Cliente_19,sku_40,RODOVIARIO,213.47
CD_11,Cliente_19,sku_43,RODOVIARIO,383.49
CD_11,Cliente_19,sku_47,RODOVIARIO,3880.72
CD_11,Cliente_19,sku_48,RODOVIARIO,28.07
CD_11,Cliente_19,sku_49,RODOVIARIO,11421.54
CD_11,Cliente_19,sku_50,RODOVIARIO,18406.54
CD_11,Cliente_19,sku_52,RODOVIARIO,243177.16
CD_11,Cliente_19,sku_61,RODOVIARIO,829.68
CD_11,Cliente_19,sku_79,RODOVIARIO,552.49
CD_11,Cliente_19,sku_82,RODOVIARIO,3620.6
CD_11,Cliente_19,sku_83,RODOVIARIO,56904.2
CD_11,Cliente_19,sku_84,RODOVIARIO,1328853.28
CD_11,Cliente_19,sku_85,RODOVIARIO,392.56
CD_11,Cliente_19,sku_86,RODOVIARIO,21416.02
CD_11,Cliente_20,sku_2,RODOVIARIO,308.74
CD_11,Cliente_20,sku_6,RODOVIARIO,0.1
CD_11,Cliente_20,sku_8,RODOVIARIO,2513.25
CD_11,Cliente_20,sku_11,RODOVIARIO,720.35
CD_11,Cliente_20,sku_16,RODOVIARIO,0.1
CD_11,Cliente_20,sku_18,RODOVIARIO,7902.36
CD_11,Cliente_20,sku_21,RODOVIARIO,1563.59
CD_11,Cliente_20,sku_22,RODOVIARIO,61609.78
CD_11,Cliente_20,sku_23,RODOVIARIO,27718.27
CD_11,Cliente_20,sku_25,RODOVIARIO,65154.33
CD_11,Cliente_20,sku_26,RODOVIARIO,13.39
CD_11,Cliente_20,sku_29,RODOVIARIO,19.47
CD_11,Cliente_20,sku_33,RODOVIARIO,1058.51
CD_11,Cliente_20,sku_35,RODOVIARIO,20421.9
CD_11,Cliente_20,sku_38,RODOVIARIO,2986.72
CD_11,Cliente_20,sku_40,RODOVIARIO,9129.16
CD_11,Cliente_20,sku_43,RODOVIARIO,61921.33
CD_11,Cliente_20,sku_44,RODOVIARIO,5640.02
CD_11,Cliente_20,sku_46,RODOVIARIO,16512.38
CD_11,Cliente_20,sku_47,RODOVIARIO,32557.66
CD_11,Cliente_20,sku_48,RODOVIARIO,80.33
CD_11,Cliente_20,sku_49,RODOVIARIO,234191.52
CD_11,Cliente_20,sku_50,RODOVIARIO,93367.88
CD_11,Cliente_20,sku_52,RODOVIARIO,3134438.9
CD_11,Cliente_20,sku_60,RODOVIARIO,192986.21
CD_11,Cliente_20,sku_61,RODOVIARIO,19396.19
CD_11,Cliente_20,sku_63,RODOVIARIO,16566.58
CD_11,Cliente_20,sku_65,RODOVIARIO,32.39
CD_11,Cliente_20,sku_66,RODOVIARIO,86.94
CD_11,Cliente_20,sku_69,RODOVIARIO,6343.83
CD_11,Cliente_20,sku_73,RODOVIARIO,6905.61
CD_11,Cliente_20,sku_77,RODOVIARIO,5217.24
CD_11,Cliente_20,sku_79,RODOVIARIO,3199.07
CD_11,Cliente_20,sku_80,RODOVIARIO,607265.14
CD_11,Cliente_20,sku_82,RODOVIARIO,85632.9
CD_11,Cliente_20,sku_83,RODOVIARIO,601175.99
CD_11,Cliente_20,sku_84,RODOVIARIO,11311364.59
CD_11,Cliente_20,sku_85,RODOVIARIO,14053.25
CD_11,Cliente_20,sku_86,RODOVIARIO,823691.09
CD_11,Cliente_20,sku_88,RODOVIARIO,1383.0
CD_11,Cliente_17,sku_49,RODOVIARIO,1142.57
CD_11,Cliente_17,sku_52,RODOVIARIO,279.66
CD_11,Cliente_17,sku_69,RODOVIARIO,730.82
CD_11,Cliente_21,sku_47,RODOVIARIO,179.56
CD_11,Cliente_21,sku_49,RODOVIARIO,297.48
CD_11,Cliente_21,sku_52,RODOVIARIO,29418.23
CD_11,Cliente_21,sku_83,RODOVIARIO,1534.06
CD_11,Cliente_22,sku_40,RODOVIARIO,346.3
CD_11,Cliente_22,sku_43,RODOVIARIO,1729.28
CD_11,Cliente_22,sku_47,RODOVIARIO,191.88
CD_11,Cliente_22,sku_48,RODOVIARIO,11.28
CD_11,Cliente_22,sku_49,RODOVIARIO,9059.49
CD_11,Cliente_22,sku_50,RODOVIARIO,1151.59
CD_11,Cliente_22,sku_52,RODOVIARIO,54486.27
CD_11,Cliente_22,sku_82,RODOVIARIO,1254.15
CD_11,Cliente_22,sku_83,RODOVIARIO,5745.42
CD_11,Cliente_22,sku_84,RODOVIARIO,746209.53
CD_11,Cliente_22,sku_85,RODOVIARIO,3348.59
CD_11,Cliente_22,sku_86,RODOVIARIO,16923.61
CD_11,Cliente_23,sku_2,RODOVIARIO,493.01
CD_11,Cliente_23,sku_6,RODOVIARIO,0.1
CD_11,Cliente_23,sku_16,RODOVIARIO,0.1
CD_11,Cliente_23,sku_18,RODOVIARIO,2563.38
CD_11,Cliente_23,sku_21,RODOVIARIO,1126.89
CD_11,Cliente_23,sku_22,RODOVIARIO,9212.7
CD_11,Cliente_23,sku_23,RODOVIARIO,2057.89
CD_11,Cliente_23,sku_25,RODOVIARIO,14663.26
CD_11,Cliente_23,sku_26,RODOVIARIO,147.33
CD_11,Cliente_23,sku_33,RODOVIARIO,506.55
CD_11,Cliente_23,sku_35,RODOVIARIO,7610.75
CD_11,Cliente_23,sku_38,RODOVIARIO,1034.12
CD_11,Cliente_23,sku_40,RODOVIARIO,1875.34
CD_11,Cliente_23,sku_43,RODOVIARIO,17479.39
CD_11,Cliente_23,sku_44,RODOVIARIO,889.8
CD_11,Cliente_23,sku_46,RODOVIARIO,15097.96
CD_11,Cliente_23,sku_47,RODOVIARIO,11989.08
CD_11,Cliente_23,sku_48,RODOVIARIO,6.7
CD_11,Cliente_23,sku_49,RODOVIARIO,62017.95
CD_11,Cliente_23,sku_50,RODOVIARIO,20398.96
CD_11,Cliente_23,sku_52,RODOVIARIO,1111787.0
CD_11,Cliente_23,sku_60,RODOVIARIO,29196.79
CD_11,Cliente_23,sku_61,RODOVIARIO,7514.31
CD_11,Cliente_23,sku_63,RODOVIARIO,8072.97
CD_11,Cliente_23,sku_65,RODOVIARIO,691.18
CD_11,Cliente_23,sku_69,RODOVIARIO,704.04
CD_11,Cliente_23,sku_73,RODOVIARIO,942.86
CD_11,Cliente_23,sku_77,RODOVIARIO,59.27
CD_11,Cliente_23,sku_79,RODOVIARIO,759.53
CD_11,Cliente_23,sku_80,RODOVIARIO,316607.0
CD_11,Cliente_23,sku_82,RODOVIARIO,17474.42
CD_11,Cliente_23,sku_83,RODOVIARIO,263366.51
CD_11,Cliente_23,sku_84,RODOVIARIO,5992367.31
CD_11,Cliente_23,sku_85,RODOVIARIO,2477.15
CD_11,Cliente_23,sku_86,RODOVIARIO,229025.74
CD_11,Cliente_25,sku_49,RODOVIARIO,2088.14
CD_11,Cliente_26,sku_6,RODOVIARIO,0.1
CD_11,Cliente_26,sku_16,RODOVIARIO,0.1
CD_11,Cliente_26,sku_22,RODOVIARIO,268.98
CD_11,Cliente_26,sku_23,RODOVIARIO,100.07
CD_11,Cliente_26,sku_25,RODOVIARIO,282.67
CD_11,Cliente_26,sku_35,RODOVIARIO,236.93
CD_11,Cliente_26,sku_38,RODOVIARIO,1111.59
CD_11,Cliente_26,sku_49,RODOVIARIO,16868.59
CD_11,Cliente_26,sku_52,RODOVIARIO,18598.6
CD_11,Cliente_26,sku_61,RODOVIARIO,1425.03
CD_11,Cliente_26,sku_63,RODOVIARIO,2739.67
CD_11,Cliente_26,sku_77,RODOVIARIO,516.96
CD_11,Cliente_26,sku_80,RODOVIARIO,391.85
CD_11,Cliente_26,sku_83,RODOVIARIO,21718.11
CD_11,Cliente_26,sku_84,RODOVIARIO,207662.54
CD_11,Cliente_27,sku_49,RODOVIARIO,7924.58
CD_11,Cliente_27,sku_52,RODOVIARIO,48365.16
CD_11,Cliente_28,sku_69,RODOVIARIO,182.13
CD_11,Cliente_29,sku_23,RODOVIARIO,616.07
CD_11,Cliente_29,sku_25,RODOVIARIO,349.5
CD_11,Cliente_29,sku_26,RODOVIARIO,13.41
CD_11,Cliente_29,sku_35,RODOVIARIO,17.77
CD_11,Cliente_29,sku_49,RODOVIARIO,4727.36
CD_11,Cliente_29,sku_52,RODOVIARIO,12870.96
CD_11,Cliente_29,sku_61,RODOVIARIO,19.47
CD_11,Cliente_29,sku_63,RODOVIARIO,694.3
CD_11,Cliente_29,sku_66,RODOVIARIO,249.95
CD_11,Cliente_29,sku_82,RODOVIARIO,497.74
CD_11,Cliente_29,sku_84,RODOVIARIO,10147.97
CD_11,Cliente_30,sku_52,RODOVIARIO,8368.05
CD_11,Cliente_30,sku_84,RODOVIARIO,6625.56
CD_11,Cliente_33,sku_84,RODOVIARIO,49171.57
CD_11,Cliente_34,sku_61,RODOVIARIO,190.7
CD_11,Cliente_39,sku_26,RODOVIARIO,11.91
CD_11,Cliente_39,sku_49,RODOVIARIO,35.89
CD_11,Cliente_39,sku_50,RODOVIARIO,8589.74
CD_11,Cliente_39,sku_52,RODOVIARIO,19740.27
CD_11,Cliente_39,sku_63,RODOVIARIO,1182.44
CD_11,Cliente_42,sku_26,RODOVIARIO,0.1
CD_11,Cliente_42,sku_52,RODOVIARIO,8466.22
CD_11,Cliente_46,sku_49,RODOVIARIO,225.97
CD_11,Cliente_46,sku_52,RODOVIARIO,14861.46
CD_11,Cliente_46,sku_82,RODOVIARIO,313.22
CD_11,Cliente_46,sku_84,RODOVIARIO,34473.61
CD_11,Cliente_49,sku_49,RODOVIARIO,179.46
CD_11,Cliente_49,sku_52,RODOVIARIO,3953.22
CD_11,Cliente_53,sku_23,RODOVIARIO,18.06
CD_11,Cliente_53,sku_33,RODOVIARIO,77.75
CD_11,Cliente_53,sku_49,RODOVIARIO,759.27
CD_11,Cliente_53,sku_52,RODOVIARIO,11491.93
CD_11,Cliente_53,sku_61,RODOVIARIO,2139.25
CD_11,Cliente_53,sku_73,RODOVIARIO,133.18
CD_11,Cliente_53,sku_82,RODOVIARIO,144.39
CD_11,Cliente_53,sku_84,RODOVIARIO,22477.76
CD_11,Cliente_55,sku_26,RODOVIARIO,11.91
CD_11,Cliente_56,sku_61,RODOVIARIO,0.1
CD_11,Cliente_56,sku_63,RODOVIARIO,148.21
CD_11,Cliente_60,sku_22,RODOVIARIO,0.1
CD_11,Cliente_60,sku_23,RODOVIARIO,372.78
CD_11,Cliente_60,sku_25,RODOVIARIO,0.1
CD_11,Cliente_60,sku_33,RODOVIARIO,0.1
CD_11,Cliente_60,sku_40,RODOVIARIO,90.66
CD_11,Cliente_60,sku_52,RODOVIARIO,3996.78
CD_11,Cliente_60,sku_83,RODOVIARIO,1055.25
CD_11,Cliente_60,sku_84,RODOVIARIO,11135.88
CD_11,Cliente_62,sku_43,RODOVIARIO,1024.14
CD_11,Cliente_63,sku_23,RODOVIARIO,185.54
CD_11,Cliente_63,sku_25,RODOVIARIO,2453.95
CD_11,Cliente_63,sku_26,RODOVIARIO,21.92
CD_11,Cliente_63,sku_43,RODOVIARIO,0.1
CD_11,Cliente_63,sku_47,RODOVIARIO,0.1
CD_11,Cliente_63,sku_49,RODOVIARIO,6159.0
CD_11,Cliente_63,sku_50,RODOVIARIO,4.44
CD_11,Cliente_63,sku_52,RODOVIARIO,29454.41
CD_11,Cliente_63,sku_61,RODOVIARIO,716.79
CD_11,Cliente_63,sku_63,RODOVIARIO,2743.72
CD_11,Cliente_63,sku_73,RODOVIARIO,92.07
CD_11,Cliente_63,sku_82,RODOVIARIO,674.5
CD_11,Cliente_63,sku_83,RODOVIARIO,1132.06
CD_11,Cliente_63,sku_84,RODOVIARIO,189380.67
CD_11,Cliente_63,sku_86,RODOVIARIO,0.1
CD_11,Cliente_67,sku_33,RODOVIARIO,490.5
CD_11,Cliente_67,sku_40,RODOVIARIO,85.94
CD_11,Cliente_74,sku_23,RODOVIARIO,604.04
CD_11,Cliente_74,sku_25,RODOVIARIO,2340.91
CD_11,Cliente_74,sku_35,RODOVIARIO,101.91
CD_11,Cliente_74,sku_63,RODOVIARIO,195.93
CD_11,Cliente_76,sku_33,RODOVIARIO,441.79
CD_11,Cliente_76,sku_63,RODOVIARIO,13.89
CD_11,Cliente_77,sku_23,RODOVIARIO,569.01
CD_11,Cliente_77,sku_25,RODOVIARIO,3082.41
CD_11,Cliente_77,sku_63,RODOVIARIO,328.55
CD_11,Cliente_80,sku_40,RODOVIARIO,4375.33
CD_11,Cliente_80,sku_43,RODOVIARIO,1320.92
CD_11,Cliente_80,sku_61,RODOVIARIO,202.28
CD_11,Cliente_80,sku_79,RODOVIARIO,1410.0
CD_11,Cliente_80,sku_82,RODOVIARIO,1908.82
CD_11,Cliente_81,sku_23,RODOVIARIO,38.09
CD_11,Cliente_81,sku_47,RODOVIARIO,193.69
CD_11,Cliente_81,sku_49,RODOVIARIO,1881.99
CD_11,Cliente_81,sku_52,RODOVIARIO,20480.03
CD_11,Cliente_81,sku_61,RODOVIARIO,41.45
CD_11,Cliente_81,sku_63,RODOVIARIO,249.49
CD_11,Cliente_81,sku_73,RODOVIARIO,468.36
CD_11,Cliente_81,sku_77,RODOVIARIO,319.35
CD_11,Cliente_81,sku_79,RODOVIARIO,21.62
CD_11,Cliente_81,sku_82,RODOVIARIO,775.5
CD_11,Cliente_81,sku_83,RODOVIARIO,5409.79
CD_11,Cliente_81,sku_84,RODOVIARIO,50103.85
CD_11,Cliente_84,sku_40,RODOVIARIO,192.93
CD_11,Cliente_84,sku_49,RODOVIARIO,647.24
CD_11,Cliente_84,sku_84,RODOVIARIO,119880.7
CD_11,Cliente_86,sku_52,RODOVIARIO,1728.39
CD_11,Cliente_86,sku_83,RODOVIARIO,678.23
CD_11,Cliente_86,sku_84,RODOVIARIO,5610.18
CD_11,Cliente_87,sku_6,RODOVIARIO,0.1
CD_11,Cliente_87,sku_16,RODOVIARIO,0.1
CD_11,Cliente_87,sku_23,RODOVIARIO,7123.13
CD_11,Cliente_87,sku_33,RODOVIARIO,32.5
CD_11,Cliente_87,sku_49,RODOVIARIO,839.33
CD_11,Cliente_87,sku_52,RODOVIARIO,11319.99
CD_11,Cliente_87,sku_61,RODOVIARIO,252.48
CD_11,Cliente_87,sku_63,RODOVIARIO,839.82
CD_11,Cliente_87,sku_79,RODOVIARIO,189.5
CD_11,Cliente_87,sku_83,RODOVIARIO,15489.99
CD_11,Cliente_87,sku_84,RODOVIARIO,71025.84
CD_11,Cliente_89,sku_79,RODOVIARIO,118.44
CD_11,Cliente_90,sku_6,RODOVIARIO,0.1
CD_11,Cliente_90,sku_22,RODOVIARIO,9292.49
CD_11,Cliente_90,sku_25,RODOVIARIO,2509.93
CD_11,Cliente_90,sku_49,RODOVIARIO,76.06
CD_11,Cliente_90,sku_52,RODOVIARIO,12219.98
CD_11,Cliente_90,sku_61,RODOVIARIO,252.48
CD_11,Cliente_90,sku_63,RODOVIARIO,620.05
CD_11,Cliente_90,sku_73,RODOVIARIO,82.25
CD_11,Cliente_90,sku_83,RODOVIARIO,572.91
CD_11,Cliente_90,sku_84,RODOVIARIO,12645.17
CD_11,Cliente_90,sku_85,RODOVIARIO,477.6
CD_11,Cliente_90,sku_86,RODOVIARIO,14816.96
CD_11,Cliente_94,sku_25,RODOVIARIO,1356.04
CD_11,Cliente_94,sku_40,RODOVIARIO,43.56
CD_11,Cliente_94,sku_49,RODOVIARIO,235.91
CD_11,Cliente_94,sku_52,RODOVIARIO,2858.04
CD_11,Cliente_94,sku_61,RODOVIARIO,2103.0
CD_11,Cliente_94,sku_63,RODOVIARIO,217.12
CD_11,Cliente_94,sku_69,RODOVIARIO,1187.78
CD_11,Cliente_94,sku_79,RODOVIARIO,211.85
CD_11,Cliente_94,sku_82,RODOVIARIO,1339.96
CD_11,Cliente_94,sku_84,RODOVIARIO,95964.18
CD_11,Cliente_95,sku_6,RODOVIARIO,0.1
CD_11,Cliente_95,sku_22,RODOVIARIO,561.72
CD_11,Cliente_95,sku_25,RODOVIARIO,967.96
CD_11,Cliente_95,sku_33,RODOVIARIO,162.52
CD_11,Cliente_95,sku_35,RODOVIARIO,1049.5
CD_11,Cliente_95,sku_38,RODOVIARIO,282.46
CD_11,Cliente_95,sku_40,RODOVIARIO,630.23
CD_11,Cliente_95,sku_43,RODOVIARIO,583.83
CD_11,Cliente_95,sku_47,RODOVIARIO,0.1
CD_11,Cliente_95,sku_49,RODOVIARIO,15326.39
CD_11,Cliente_95,sku_52,RODOVIARIO,62000.21
CD_11,Cliente_95,sku_61,RODOVIARIO,430.16
CD_11,Cliente_95,sku_63,RODOVIARIO,121.0
CD_11,Cliente_95,sku_75,RODOVIARIO,231.93
CD_11,Cliente_95,sku_77,RODOVIARIO,0.1
CD_11,Cliente_95,sku_80,RODOVIARIO,20132.38
CD_11,Cliente_95,sku_82,RODOVIARIO,3618.43
CD_11,Cliente_95,sku_83,RODOVIARIO,23237.94
CD_11,Cliente_95,sku_84,RODOVIARIO,513444.36
CD_11,Cliente_95,sku_86,RODOVIARIO,19104.1
CD_11,Cliente_92,sku_84,RODOVIARIO,167312.15
CD_11,Cliente_96,sku_84,RODOVIARIO,237717.11
CD_11,Cliente_97,sku_52,RODOVIARIO,2078.72
CD_11,Cliente_98,sku_23,RODOVIARIO,443.02
CD_11,Cliente_98,sku_25,RODOVIARIO,554.12
CD_11,Cliente_98,sku_33,RODOVIARIO,48.76
CD_11,Cliente_98,sku_40,RODOVIARIO,611.37
CD_11,Cliente_98,sku_43,RODOVIARIO,2174.24
CD_11,Cliente_98,sku_47,RODOVIARIO,780.24
CD_11,Cliente_98,sku_49,RODOVIARIO,8826.52
CD_11,Cliente_98,sku_50,RODOVIARIO,379.99
CD_11,Cliente_98,sku_52,RODOVIARIO,60633.26
CD_11,Cliente_98,sku_61,RODOVIARIO,733.82
CD_11,Cliente_98,sku_63,RODOVIARIO,619.19
CD_11,Cliente_98,sku_69,RODOVIARIO,0.1
CD_11,Cliente_98,sku_79,RODOVIARIO,236.88
CD_11,Cliente_98,sku_82,RODOVIARIO,219.6
CD_11,Cliente_98,sku_83,RODOVIARIO,33835.27
CD_11,Cliente_98,sku_84,RODOVIARIO,680348.16
CD_11,Cliente_98,sku_86,RODOVIARIO,29072.92
CD_11,Cliente_100,sku_43,RODOVIARIO,2664.38
CD_11,Cliente_101,sku_2,RODOVIARIO,6.5
CD_11,Cliente_101,sku_23,RODOVIARIO,695.79
CD_11,Cliente_101,sku_25,RODOVIARIO,86.46
CD_11,Cliente_101,sku_33,RODOVIARIO,327.75
CD_11,Cliente_101,sku_38,RODOVIARIO,244.17
CD_11,Cliente_101,sku_61,RODOVIARIO,124.16
CD_11,Cliente_101,sku_63,RODOVIARIO,2.91
CD_11,Cliente_103,sku_61,RODOVIARIO,18.94
CD_11,Cliente_103,sku_63,RODOVIARIO,21.36
CD_11,Cliente_106,sku_22,RODOVIARIO,3485.08
CD_11,Cliente_106,sku_23,RODOVIARIO,66.52
CD_11,Cliente_106,sku_61,RODOVIARIO,28.6
CD_11,Cliente_106,sku_65,RODOVIARIO,1972.9
CD_11,Cliente_109,sku_33,RODOVIARIO,449.07
CD_11,Cliente_109,sku_61,RODOVIARIO,190.7
CD_11,Cliente_109,sku_63,RODOVIARIO,164.13
CD_11,Cliente_109,sku_65,RODOVIARIO,894.07
CD_11,Cliente_109,sku_82,RODOVIARIO,83.46
CD_11,Cliente_112,sku_61,RODOVIARIO,193.02
CD_11,Cliente_112,sku_73,RODOVIARIO,119.18
CD_11,Cliente_113,sku_18,RODOVIARIO,441.97
CD_11,Cliente_113,sku_22,RODOVIARIO,0.1
CD_11,Cliente_113,sku_23,RODOVIARIO,0.1
CD_11,Cliente_113,sku_25,RODOVIARIO,670.46
CD_11,Cliente_113,sku_26,RODOVIARIO,0.1
CD_11,Cliente_113,sku_40,RODOVIARIO,110.02
CD_11,Cliente_113,sku_49,RODOVIARIO,2854.35
CD_11,Cliente_113,sku_50,RODOVIARIO,41.3
CD_11,Cliente_113,sku_52,RODOVIARIO,15814.75
CD_11,Cliente_113,sku_61,RODOVIARIO,49.64
CD_11,Cliente_113,sku_83,RODOVIARIO,1790.07
CD_11,Cliente_113,sku_84,RODOVIARIO,5390.89
CD_11,Cliente_116,sku_23,RODOVIARIO,162.41
CD_11,Cliente_116,sku_49,RODOVIARIO,2584.36
CD_11,Cliente_116,sku_52,RODOVIARIO,3772.51
CD_11,Cliente_118,sku_23,RODOVIARIO,517.48
CD_11,Cliente_118,sku_25,RODOVIARIO,1059.63
CD_11,Cliente_118,sku_61,RODOVIARIO,548.95
CD_11,Cliente_118,sku_63,RODOVIARIO,1687.33
CD_11,Cliente_119,sku_2,RODOVIARIO,20.02
CD_11,Cliente_119,sku_22,RODOVIARIO,244.89
CD_11,Cliente_119,sku_23,RODOVIARIO,635.89
CD_11,Cliente_119,sku_25,RODOVIARIO,1054.62
CD_11,Cliente_119,sku_33,RODOVIARIO,97.51
CD_11,Cliente_119,sku_47,RODOVIARIO,2864.24
CD_11,Cliente_119,sku_49,RODOVIARIO,13354.35
CD_11,Cliente_119,sku_50,RODOVIARIO,170.47
CD_11,Cliente_119,sku_52,RODOVIARIO,65676.87
CD_11,Cliente_119,sku_61,RODOVIARIO,222.43
CD_11,Cliente_119,sku_63,RODOVIARIO,1645.36
CD_11,Cliente_119,sku_80,RODOVIARIO,0.1
CD_11,Cliente_119,sku_82,RODOVIARIO,1240.98
CD_11,Cliente_119,sku_83,RODOVIARIO,22924.16
CD_11,Cliente_119,sku_84,RODOVIARIO,68470.67
CD_11,Cliente_119,sku_86,RODOVIARIO,3090.36
CD_11,Cliente_121,sku_52,RODOVIARIO,44527.74
CD_11,Cliente_121,sku_82,RODOVIARIO,355.57
CD_11,Cliente_121,sku_83,RODOVIARIO,1173.99
CD_11,Cliente_121,sku_84,RODOVIARIO,150940.69
CD_11,Cliente_122,sku_82,RODOVIARIO,374.72
CD_11,Cliente_123,sku_23,RODOVIARIO,129.55
CD_11,Cliente_123,sku_52,RODOVIARIO,8931.92
CD_11,Cliente_123,sku_61,RODOVIARIO,66.24
CD_11,Cliente_123,sku_73,RODOVIARIO,87.28
CD_11,Cliente_123,sku_84,RODOVIARIO,41971.89
CD_11,Cliente_124,sku_69,RODOVIARIO,23.78
CD_11,Cliente_124,sku_82,RODOVIARIO,244.61
CD_11,Cliente_125,sku_23,RODOVIARIO,829.13
CD_11,Cliente_125,sku_61,RODOVIARIO,2.91
CD_11,Cliente_125,sku_63,RODOVIARIO,23.97
CD_11,Cliente_125,sku_83,RODOVIARIO,1554.68
CD_11,Cliente_126,sku_82,RODOVIARIO,270.73
CD_11,Cliente_127,sku_40,RODOVIARIO,68.09
CD_11,Cliente_127,sku_61,RODOVIARIO,48.85
CD_11,Cliente_127,sku_63,RODOVIARIO,34.74
CD_11,Cliente_138,sku_66,RODOVIARIO,656.56
CD_11,Cliente_141,sku_23,RODOVIARIO,114.35
CD_11,Cliente_141,sku_52,RODOVIARIO,13802.89
CD_11,Cliente_141,sku_63,RODOVIARIO,172.95
CD_11,Cliente_141,sku_84,RODOVIARIO,14673.97
CD_11,Cliente_144,sku_52,RODOVIARIO,8064.59
CD_11,Cliente_144,sku_83,RODOVIARIO,2621.52
CD_11,Cliente_144,sku_84,RODOVIARIO,183949.93
CD_11,Cliente_145,sku_2,RODOVIARIO,27.1
CD_11,Cliente_145,sku_6,RODOVIARIO,0.1
CD_11,Cliente_145,sku_16,RODOVIARIO,0.1
CD_11,Cliente_145,sku_18,RODOVIARIO,56.06
CD_11,Cliente_145,sku_22,RODOVIARIO,652.58
CD_11,Cliente_145,sku_23,RODOVIARIO,1651.8
CD_11,Cliente_145,sku_25,RODOVIARIO,4425.15
CD_11,Cliente_145,sku_33,RODOVIARIO,739.57
CD_11,Cliente_145,sku_35,RODOVIARIO,6488.36
CD_11,Cliente_145,sku_38,RODOVIARIO,1450.23
CD_11,Cliente_145,sku_40,RODOVIARIO,53.11
CD_11,Cliente_145,sku_43,RODOVIARIO,543.02
CD_11,Cliente_145,sku_47,RODOVIARIO,804.23
CD_11,Cliente_145,sku_49,RODOVIARIO,31139.1
CD_11,Cliente_145,sku_50,RODOVIARIO,19657.87
CD_11,Cliente_145,sku_52,RODOVIARIO,158077.34
CD_11,Cliente_145,sku_61,RODOVIARIO,1904.67
