no,sku,perfil,demanda
Cliente_12,sku_26,Rodoviário,342.67
Cliente_12,sku_29,Rodoviário,4668.55
Cliente_12,sku_33,Rodoviário,538.77
Cliente_12,sku_35,Rodoviário,3028.83
Cliente_12,sku_38,Rodoviário,1207.32
Cliente_12,sku_40,Rodoviário,2235.79
Cliente_12,sku_43,Rodoviário,14743.12
Cliente_12,sku_49,Rodoviário,16203.09
Cliente_12,sku_52,Rodoviário,51280.18
Cliente_12,sku_60,Rodoviário,148.77
Cliente_12,sku_61,Rodoviário,1270.04
Cliente_12,sku_63,Rodoviário,4409.46
Cliente_12,sku_69,Rodoviário,1946.79
Cliente_12,sku_73,Rodoviário,3537.17
Cliente_12,sku_75,Rodoviário,1994.62
Cliente_12,sku_77,Rodoviário,6221.63
Cliente_12,sku_79,Rodoviário,2710.13
Cliente_12,sku_82,Rodoviário,18176.87
Cliente_12,sku_83,Rodoviário,162777.24
Cliente_12,sku_84,Rodoviário,128966.26
Cliente_10,sku_2,Rodoviário,1207.07
Cliente_10,sku_8,Rodoviário,15.94
Cliente_10,sku_11,Rodoviário,2006.64
Cliente_10,sku_18,Rodoviário,17556.33
Cliente_10,sku_21,Rodoviário,637.89
Cliente_10,sku_22,Rodoviário,34373.31
Cliente_10,sku_25,Rodoviário,4455.1
Cliente_10,sku_26,Rodoviário,25.52
Cliente_10,sku_35,Rodoviário,1090.9
Cliente_10,sku_38,Rodoviário,1765.26
Cliente_10,sku_40,Rodoviário,156.11
Cliente_10,sku_49,Rodoviário,0.1
Cliente_10,sku_61,Rodoviário,1710.54
Cliente_10,sku_69,Rodoviário,499.46
Cliente_10,sku_75,Rodoviário,17232.26
Cliente_10,sku_82,Rodoviário,33186.27
Cliente_10,sku_83,Rodoviário,0.1
Cliente_13,sku_18,Rodoviário,1193.51
Cliente_13,sku_82,Rodoviário,38.16
Cliente_14,sku_6,Rodoviário,0.1
Cliente_14,sku_8,Rodoviário,7.32
Cliente_14,sku_16,Rodoviário,0.1
Cliente_14,sku_18,Rodoviário,15.95
Cliente_15,sku_16,Rodoviário,17.58
Cliente_15,sku_21,Rodoviário,0.1
Cliente_15,sku_25,Rodoviário,5808.29
Cliente_15,sku_33,Rodoviário,107.61
Cliente_15,sku_38,Rodoviário,1113.74
Cliente_15,sku_40,Rodoviário,186.45
Cliente_15,sku_43,Rodoviário,11995.01
Cliente_15,sku_60,Rodoviário,1872.24
Cliente_15,sku_61,Rodoviário,363.27
Cliente_15,sku_63,Rodoviário,1819.36
Cliente_15,sku_65,Rodoviário,1756.97
Cliente_15,sku_69,Rodoviário,1508.4
Cliente_15,sku_82,Rodoviário,3456.79
Cliente_16,sku_2,Rodoviário,52.97
Cliente_16,sku_6,Rodoviário,0.2
Cliente_16,sku_8,Rodoviário,514.6
Cliente_16,sku_15,Rodoviário,572.61
Cliente_16,sku_16,Rodoviário,32.44
Cliente_16,sku_17,Rodoviário,109.13
Cliente_16,sku_18,Rodoviário,2308.83
Cliente_16,sku_20,Rodoviário,28.94
Cliente_16,sku_23,Rodoviário,478.94
Cliente_16,sku_25,Rodoviário,475.31
Cliente_16,sku_26,Rodoviário,60.88
Cliente_16,sku_29,Rodoviário,5355.2
Cliente_16,sku_35,Rodoviário,20.43
Cliente_16,sku_38,Rodoviário,2392.55
Cliente_16,sku_40,Rodoviário,1584.45
Cliente_16,sku_43,Rodoviário,4634.0
Cliente_16,sku_49,Rodoviário,4626.68
Cliente_16,sku_52,Rodoviário,23951.18
Cliente_16,sku_61,Rodoviário,283.98
Cliente_16,sku_63,Rodoviário,120.48
Cliente_16,sku_77,Rodoviário,474.82
Cliente_16,sku_79,Rodoviário,577.63
Cliente_16,sku_82,Rodoviário,5432.96
Cliente_16,sku_83,Rodoviário,3094.35
Cliente_16,sku_84,Rodoviário,45091.32
Cliente_19,sku_8,Rodoviário,839.19
Cliente_19,sku_23,Rodoviário,14.14
Cliente_19,sku_33,Rodoviário,1019.55
Cliente_19,sku_40,Rodoviário,9103.93
Cliente_19,sku_43,Rodoviário,44208.64
Cliente_19,sku_47,Rodoviário,3880.72
Cliente_19,sku_48,Rodoviário,28.07
Cliente_19,sku_49,Rodoviário,11421.54
Cliente_19,sku_50,Rodoviário,18406.54
Cliente_19,sku_52,Rodoviário,243177.16
Cliente_19,sku_61,Rodoviário,2096.77
Cliente_19,sku_65,Rodoviário,13805.6
Cliente_19,sku_79,Rodoviário,6011.0
Cliente_19,sku_82,Rodoviário,9496.58
Cliente_19,sku_83,Rodoviário,62089.04
Cliente_19,sku_84,Rodoviário,1328853.28
Cliente_19,sku_85,Rodoviário,392.56
Cliente_19,sku_86,Rodoviário,21416.02
Cliente_20,sku_0,Rodoviário,872.93
Cliente_20,sku_2,Rodoviário,6005.08
Cliente_20,sku_3,Rodoviário,60.61
Cliente_20,sku_4,Rodoviário,731.69
Cliente_20,sku_5,Rodoviário,742.89
Cliente_20,sku_6,Rodoviário,37.13
Cliente_20,sku_7,Rodoviário,28.43
Cliente_20,sku_8,Rodoviário,32418.84
Cliente_20,sku_10,Rodoviário,30.48
Cliente_20,sku_11,Rodoviário,8979.23
Cliente_20,sku_12,Rodoviário,14.43
Cliente_20,sku_14,Rodoviário,15604.3
Cliente_20,sku_15,Rodoviário,2135.11
Cliente_20,sku_16,Rodoviário,119.7
Cliente_20,sku_17,Rodoviário,63844.05
Cliente_20,sku_18,Rodoviário,125171.67
Cliente_20,sku_19,Rodoviário,434.53
Cliente_20,sku_20,Rodoviário,6633.25
Cliente_20,sku_21,Rodoviário,94429.51
Cliente_20,sku_22,Rodoviário,73504.44
Cliente_20,sku_23,Rodoviário,36780.12
Cliente_20,sku_25,Rodoviário,118286.02
Cliente_20,sku_26,Rodoviário,2378.91
Cliente_20,sku_27,Rodoviário,2.7
Cliente_20,sku_28,Rodoviário,10.79
Cliente_20,sku_29,Rodoviário,17327.08
Cliente_20,sku_31,Rodoviário,348.16
Cliente_20,sku_33,Rodoviário,17968.05
Cliente_20,sku_35,Rodoviário,30884.68
Cliente_20,sku_37,Rodoviário,627.04
Cliente_20,sku_38,Rodoviário,13039.78
Cliente_20,sku_39,Rodoviário,24.47
Cliente_20,sku_40,Rodoviário,35119.23
Cliente_20,sku_42,Rodoviário,1756.24
Cliente_20,sku_43,Rodoviário,212918.62
Cliente_20,sku_44,Rodoviário,5640.02
Cliente_20,sku_46,Rodoviário,19756.45
Cliente_20,sku_47,Rodoviário,69117.93
Cliente_20,sku_48,Rodoviário,80.33
Cliente_20,sku_49,Rodoviário,258073.02
Cliente_20,sku_50,Rodoviário,93367.88
Cliente_20,sku_52,Rodoviário,3368757.88
Cliente_20,sku_55,Rodoviário,7101.37
Cliente_20,sku_60,Rodoviário,220665.3
Cliente_20,sku_61,Rodoviário,22941.18
Cliente_20,sku_63,Rodoviário,31316.4
Cliente_20,sku_65,Rodoviário,105.31
Cliente_20,sku_66,Rodoviário,96.05
Cliente_20,sku_67,Rodoviário,88.64
Cliente_20,sku_68,Rodoviário,147.72
Cliente_20,sku_69,Rodoviário,23572.65
Cliente_20,sku_71,Rodoviário,411.18
Cliente_20,sku_73,Rodoviário,9604.48
Cliente_20,sku_74,Rodoviário,52.02
Cliente_20,sku_75,Rodoviário,8251.52
Cliente_20,sku_77,Rodoviário,17231.03
Cliente_20,sku_78,Rodoviário,26.94
Cliente_20,sku_79,Rodoviário,13535.2
Cliente_20,sku_80,Rodoviário,611535.35
Cliente_20,sku_82,Rodoviário,203479.32
Cliente_20,sku_30,Rodoviário,18.27
Cliente_20,sku_72,Rodoviário,727.92
Cliente_20,sku_83,Rodoviário,636607.63
Cliente_20,sku_84,Rodoviário,12368252.59
Cliente_20,sku_85,Rodoviário,14053.35
Cliente_20,sku_86,Rodoviário,837132.54
Cliente_20,sku_87,Rodoviário,263.54
Cliente_20,sku_88,Rodoviário,1383.0
Cliente_17,sku_8,Rodoviário,9195.75
Cliente_17,sku_11,Rodoviário,67035.21
Cliente_17,sku_13,Rodoviário,606.59
Cliente_17,sku_17,Rodoviário,8339.41
Cliente_17,sku_18,Rodoviário,28451.42
Cliente_17,sku_21,Rodoviário,20836.49
Cliente_17,sku_49,Rodoviário,1142.57
Cliente_17,sku_52,Rodoviário,279.66
Cliente_17,sku_61,Rodoviário,681.08
Cliente_17,sku_63,Rodoviário,11015.39
Cliente_17,sku_69,Rodoviário,730.82
Cliente_17,sku_75,Rodoviário,112205.85
Cliente_17,sku_77,Rodoviário,1085.84
Cliente_21,sku_2,Rodoviário,399.67
Cliente_21,sku_14,Rodoviário,620.49
Cliente_21,sku_18,Rodoviário,8365.74
Cliente_21,sku_29,Rodoviário,35.77
Cliente_21,sku_33,Rodoviário,4440.73
Cliente_21,sku_39,Rodoviário,53.63
Cliente_21,sku_47,Rodoviário,179.56
Cliente_21,sku_49,Rodoviário,1549.03
Cliente_21,sku_52,Rodoviário,29418.23
Cliente_21,sku_60,Rodoviário,136096.28
Cliente_21,sku_63,Rodoviário,208.84
Cliente_21,sku_66,Rodoviário,115.43
Cliente_21,sku_83,Rodoviário,1534.06
Cliente_22,sku_40,Rodoviário,381.86
Cliente_22,sku_43,Rodoviário,2538.31
Cliente_22,sku_47,Rodoviário,191.88
Cliente_22,sku_48,Rodoviário,11.28
Cliente_22,sku_49,Rodoviário,9059.49
Cliente_22,sku_50,Rodoviário,1151.59
Cliente_22,sku_52,Rodoviário,54486.27
Cliente_22,sku_82,Rodoviário,1635.93
Cliente_22,sku_83,Rodoviário,5745.42
Cliente_22,sku_84,Rodoviário,746209.53
Cliente_22,sku_85,Rodoviário,3348.59
Cliente_22,sku_86,Rodoviário,16923.61
Cliente_23,sku_0,Rodoviário,235.62
Cliente_23,sku_2,Rodoviário,2938.25
Cliente_23,sku_4,Rodoviário,42.23
Cliente_23,sku_5,Rodoviário,60.39
Cliente_23,sku_6,Rodoviário,2.25
Cliente_23,sku_8,Rodoviário,5216.73
Cliente_23,sku_11,Rodoviário,44.14
Cliente_23,sku_12,Rodoviário,68.83
Cliente_23,sku_14,Rodoviário,7171.53
Cliente_23,sku_15,Rodoviário,2471.84
Cliente_23,sku_16,Rodoviário,88.1
Cliente_23,sku_17,Rodoviário,1774.14
Cliente_23,sku_18,Rodoviário,29138.69
Cliente_23,sku_21,Rodoviário,32922.68
Cliente_23,sku_22,Rodoviário,18250.3
Cliente_23,sku_23,Rodoviário,4586.22
Cliente_23,sku_25,Rodoviário,29004.23
Cliente_23,sku_26,Rodoviário,334.85
Cliente_23,sku_29,Rodoviário,18713.3
Cliente_23,sku_31,Rodoviário,36.29
Cliente_23,sku_33,Rodoviário,4640.67
Cliente_23,sku_35,Rodoviário,13859.68
Cliente_23,sku_38,Rodoviário,3591.57
Cliente_23,sku_40,Rodoviário,10614.69
Cliente_23,sku_43,Rodoviário,86840.45
Cliente_23,sku_44,Rodoviário,889.8
Cliente_23,sku_46,Rodoviário,15097.96
Cliente_23,sku_47,Rodoviário,21294.69
Cliente_23,sku_48,Rodoviário,6.7
Cliente_23,sku_49,Rodoviário,79555.26
Cliente_23,sku_50,Rodoviário,20398.96
Cliente_23,sku_52,Rodoviário,1185749.75
Cliente_23,sku_55,Rodoviário,0.1
Cliente_23,sku_60,Rodoviário,34712.3
Cliente_23,sku_61,Rodoviário,16156.03
Cliente_23,sku_63,Rodoviário,13099.39
Cliente_23,sku_65,Rodoviário,691.18
Cliente_23,sku_66,Rodoviário,19.11
Cliente_23,sku_69,Rodoviário,4145.12
Cliente_23,sku_71,Rodoviário,1074.99
Cliente_23,sku_73,Rodoviário,2124.4
Cliente_23,sku_75,Rodoviário,1994.62
Cliente_23,sku_77,Rodoviário,5845.36
Cliente_23,sku_78,Rodoviário,66.61
Cliente_23,sku_79,Rodoviário,5787.94
Cliente_23,sku_80,Rodoviário,316607.0
Cliente_23,sku_82,Rodoviário,73532.72
Cliente_23,sku_83,Rodoviário,290259.01
Cliente_23,sku_84,Rodoviário,6039001.99
Cliente_23,sku_85,Rodoviário,2477.25
Cliente_23,sku_86,Rodoviário,229025.74
Cliente_18,sku_18,Rodoviário,23.55
Cliente_25,sku_15,Rodoviário,0.1
Cliente_25,sku_39,Rodoviário,2018.43
Cliente_25,sku_40,Rodoviário,19624.2
Cliente_25,sku_43,Rodoviário,33825.95
Cliente_25,sku_47,Rodoviário,4198.36
Cliente_25,sku_49,Rodoviário,7074.98
Cliente_25,sku_52,Rodoviário,273.07
Cliente_25,sku_74,Rodoviário,1894.88
Cliente_25,sku_79,Rodoviário,18805.68
Cliente_25,sku_82,Rodoviário,8674.18
Cliente_25,sku_83,Rodoviário,138027.15
Cliente_25,sku_84,Rodoviário,1365143.04
Cliente_25,sku_85,Rodoviário,442.11
Cliente_25,sku_86,Rodoviário,1459.66
Cliente_25,sku_87,Rodoviário,90142.45
Cliente_25,sku_88,Rodoviário,149041.42
Cliente_25,sku_89,Rodoviário,293.03
Cliente_25,sku_90,Rodoviário,2281.81
Cliente_25,sku_91,Rodoviário,590.61
Cliente_25,sku_92,Rodoviário,181.02
Cliente_26,sku_0,Rodoviário,1.55
Cliente_26,sku_2,Rodoviário,4627.36
Cliente_26,sku_4,Rodoviário,414.5
Cliente_26,sku_5,Rodoviário,105.91
Cliente_26,sku_6,Rodoviário,55.84
Cliente_26,sku_8,Rodoviário,41746.23
Cliente_26,sku_10,Rodoviário,0.69
Cliente_26,sku_11,Rodoviário,7898.17
Cliente_26,sku_13,Rodoviário,0.1
Cliente_26,sku_14,Rodoviário,9335.91
Cliente_26,sku_15,Rodoviário,753.1
Cliente_26,sku_16,Rodoviário,790.27
Cliente_26,sku_17,Rodoviário,62188.58
Cliente_26,sku_18,Rodoviário,113116.9
Cliente_26,sku_19,Rodoviário,90.14
Cliente_26,sku_20,Rodoviário,5245.14
Cliente_26,sku_21,Rodoviário,46706.34
Cliente_26,sku_22,Rodoviário,20443.7
Cliente_26,sku_23,Rodoviário,12253.42
Cliente_26,sku_25,Rodoviário,33044.52
Cliente_26,sku_26,Rodoviário,0.1
Cliente_26,sku_29,Rodoviário,40889.15
Cliente_26,sku_31,Rodoviário,301.22
Cliente_26,sku_33,Rodoviário,6132.62
Cliente_26,sku_35,Rodoviário,6222.71
Cliente_26,sku_38,Rodoviário,3949.69
Cliente_26,sku_40,Rodoviário,12791.49
Cliente_26,sku_42,Rodoviário,362.17
Cliente_26,sku_43,Rodoviário,60450.29
Cliente_26,sku_46,Rodoviário,215.06
Cliente_26,sku_47,Rodoviário,6848.3
Cliente_26,sku_49,Rodoviário,118705.85
Cliente_26,sku_52,Rodoviário,255202.0
Cliente_26,sku_60,Rodoviário,2297.62
Cliente_26,sku_61,Rodoviário,19318.16
Cliente_26,sku_63,Rodoviário,27782.33
Cliente_26,sku_65,Rodoviário,351.74
Cliente_26,sku_68,Rodoviário,41.2
Cliente_26,sku_69,Rodoviário,13578.89
Cliente_26,sku_71,Rodoviário,512.57
Cliente_26,sku_73,Rodoviário,9751.57
Cliente_26,sku_75,Rodoviário,463.87
Cliente_26,sku_77,Rodoviário,20177.09
Cliente_26,sku_78,Rodoviário,7.66
Cliente_26,sku_79,Rodoviário,1744.42
Cliente_26,sku_80,Rodoviário,369175.35
Cliente_26,sku_82,Rodoviário,88370.08
Cliente_26,sku_83,Rodoviário,1219973.22
Cliente_26,sku_84,Rodoviário,8225981.63
Cliente_26,sku_85,Rodoviário,1732.26
Cliente_26,sku_86,Rodoviário,59965.32
Cliente_26,sku_87,Rodoviário,138691.75
Cliente_26,sku_88,Rodoviário,148793.21
Cliente_26,sku_89,Rodoviário,117670.69
Cliente_26,sku_90,Rodoviário,13948.76
Cliente_26,sku_91,Rodoviário,1401.64
Cliente_26,sku_92,Rodoviário,388.31
Cliente_26,sku_93,Rodoviário,4100.31
Cliente_24,sku_2,Rodoviário,818.27
Cliente_24,sku_8,Rodoviário,14545.33
Cliente_24,sku_10,Rodoviário,1112.01
Cliente_24,sku_11,Rodoviário,47740.3
Cliente_24,sku_13,Rodoviário,207.56
Cliente_24,sku_14,Rodoviário,2125.83
Cliente_24,sku_15,Rodoviário,1886.59
Cliente_24,sku_17,Rodoviário,8706.72
Cliente_24,sku_18,Rodoviário,89620.19
Cliente_24,sku_19,Rodoviário,1057.29
Cliente_24,sku_20,Rodoviário,804.05
Cliente_24,sku_21,Rodoviário,142598.25
Cliente_24,sku_25,Rodoviário,8002.47
Cliente_24,sku_26,Rodoviário,270.43
Cliente_24,sku_29,Rodoviário,438.49
Cliente_24,sku_35,Rodoviário,115.99
Cliente_24,sku_38,Rodoviário,51398.93
Cliente_24,sku_40,Rodoviário,4528.15
Cliente_24,sku_43,Rodoviário,263471.09
Cliente_24,sku_49,Rodoviário,35613.73
Cliente_24,sku_52,Rodoviário,0.1
Cliente_24,sku_61,Rodoviário,8550.44
Cliente_24,sku_63,Rodoviário,5056.74
Cliente_24,sku_66,Rodoviário,709.61
Cliente_24,sku_69,Rodoviário,10130.12
Cliente_24,sku_77,Rodoviário,8494.87
Cliente_24,sku_82,Rodoviário,123366.0
Cliente_24,sku_83,Rodoviário,522631.19
Cliente_24,sku_84,Rodoviário,1044040.02
Cliente_24,sku_87,Rodoviário,374707.16
Cliente_24,sku_88,Rodoviário,273292.22
Cliente_24,sku_91,Rodoviário,5207.57
Cliente_27,sku_2,Rodoviário,175.57
Cliente_27,sku_8,Rodoviário,752.37
Cliente_27,sku_10,Rodoviário,20.99
Cliente_27,sku_14,Rodoviário,1635.77
Cliente_27,sku_15,Rodoviário,55.95
Cliente_27,sku_17,Rodoviário,6505.1
Cliente_27,sku_18,Rodoviário,11530.57
Cliente_27,sku_20,Rodoviário,19.09
Cliente_27,sku_21,Rodoviário,56218.2
Cliente_27,sku_22,Rodoviário,875.87
Cliente_27,sku_25,Rodoviário,508.38
Cliente_27,sku_38,Rodoviário,46354.43
Cliente_27,sku_40,Rodoviário,39867.74
Cliente_27,sku_43,Rodoviário,10411.44
Cliente_27,sku_49,Rodoviário,35212.31
Cliente_27,sku_52,Rodoviário,62063.74
Cliente_27,sku_61,Rodoviário,429.32
Cliente_27,sku_65,Rodoviário,1101.99
Cliente_27,sku_69,Rodoviário,1230.32
Cliente_27,sku_77,Rodoviário,890.73
Cliente_27,sku_79,Rodoviário,684.85
Cliente_27,sku_80,Rodoviário,246408.28
Cliente_27,sku_82,Rodoviário,80647.03
Cliente_27,sku_83,Rodoviário,895158.15
Cliente_27,sku_84,Rodoviário,3688844.62
Cliente_27,sku_86,Rodoviário,14915.71
Cliente_27,sku_87,Rodoviário,70241.34
Cliente_27,sku_88,Rodoviário,135853.31
Cliente_27,sku_89,Rodoviário,121492.69
Cliente_27,sku_90,Rodoviário,31525.45
Cliente_27,sku_91,Rodoviário,16793.28
Cliente_28,sku_35,Rodoviário,207.31
Cliente_28,sku_38,Rodoviário,260.66
Cliente_28,sku_52,Rodoviário,3786.2
Cliente_28,sku_69,Rodoviário,182.13
Cliente_28,sku_77,Rodoviário,143.52
Cliente_28,sku_83,Rodoviário,34876.26
Cliente_28,sku_84,Rodoviário,480132.29
Cliente_28,sku_85,Rodoviário,3755.13
Cliente_28,sku_86,Rodoviário,2316.7
Cliente_28,sku_87,Rodoviário,21979.49
Cliente_28,sku_88,Rodoviário,119234.38
Cliente_28,sku_90,Rodoviário,1711.36
Cliente_28,sku_91,Rodoviário,624.44
Cliente_28,sku_92,Rodoviário,407.96
Cliente_29,sku_0,Rodoviário,11.66
Cliente_29,sku_2,Rodoviário,165.74
Cliente_29,sku_6,Rodoviário,0.2
Cliente_29,sku_8,Rodoviário,225.61
Cliente_29,sku_11,Rodoviário,107.33
Cliente_29,sku_14,Rodoviário,300.47
Cliente_29,sku_15,Rodoviário,8.46
Cliente_29,sku_16,Rodoviário,0.2
Cliente_29,sku_17,Rodoviário,642.49
Cliente_29,sku_18,Rodoviário,6692.8
Cliente_29,sku_19,Rodoviário,27.19
Cliente_29,sku_20,Rodoviário,238.33
Cliente_29,sku_21,Rodoviário,7166.86
Cliente_29,sku_22,Rodoviário,11063.54
